country,industry,ai_tool,adoption_rate,daily_active_users,year,user_feedback,age_group,company_size
Germany,Education,ChatGPT,99.98,7861,2024,cqYndOAPijRFFsoYPpzhhXVJRNiMPEKvLikQSCLySIpmBnrpBSvOAIJSrVjDEtfReFxvQ mHhHACpdrTNymx afEMZaLKLaBZGKAIXnaqrdWYYLqcLzwnxzUEUBIwKzzNlVqojrkXiAljoqoZemDmJ,55+,SME
South Korea,Education,Stable Diffusion,17.84,2976,2024,CiGkbJLVrBeXtOOQuwVAtDQtDBMaCbVuDkcvZFLbljCgloigkvsPfIxEUwhlKhlfRIPZrYkJeGxoLYeLSLGPWPw xwkbfKmdUMBCnQjOecjEOfYg YuyvdHJNgqtReJepOVaLISZgjoEYxOXFjyVoz,18-24,Enterprise
UK,Education,ChatGPT,51.7,4406,2024,eAXajBWIZYjtpstGHfdUnUVWhOTeoDXQaaJlBJadJtVIVRuWSkYGJIFXtFhuvwpZDyJcSL RWYFsfn vJgZHfmYpaqoFrCHguEamvqCbkNZTtGzBGfKwRgntiuC Qe CFhSOhrhIelHITPKI jbsli,18-24,Enterprise
Germany,Education,ChatGPT,8.68,561,2024,KoRIYypcIipakZQnnUkQqCcByNufFIhspzuUSvQkuNbPVPoZYuYXbEvZWhbjHuYoRjVEswlfglgCZnhuS JNExyGvdJbYdYOwNEjBSBNXSyVdVqxZQNtwrBkkAajykgGiIpslJqOPKDhCkAuBzIEUx,35-44,Enterprise
South Korea,Education,Bard,65.5,1433,2023,TXyWtoNSALxsSWADJtbsLwbhHhvPgJMgAOvaOkocRzPbnwVBmtnzVyXipLOYryPNPsEBKMcbxgHHTwea wFxTsKFnMfflagyArSrBgrwA wZGAxIqEHTiZSpnCWXbOOfgjzCkKmqfRnPOnulJP Kxy,55+,Enterprise
India,Education,Midjourney,76.8,4956,2024,MGmXpRKKRUVYklE zZwoPwlSebLukdxRYqyqPjSSygmUbcANHQewaPsgnwYaWgBOWsNOCBXzQhdypMZXNQSwkdEfcMwThczsvK sVNqknnwYGfhNrOzcPPUghRsPzHrSrMUYZGef HiYUsEWyXweaB,45-54,Startup
France,Education,ChatGPT,24.26,152,2023,podpkWQUWtHzBYrROFbHyoZNIvWWDBZr aFSbykaRRSWgpoxKsfAsqNoHgejVJnAtDlTDtNkB MrndZooGoojfysoz dauJvvxNnmOnppQYNNBdzCsgngMZqmiAdGCNeVhqrEaTCdOVnzbhEkDMTzJ,35-44,SME
UK,Education,Midjourney,50.21,129,2024,uTYgUvLJiOJA CQaOdgckzOmupiPpYzbecqUvxnAmroJYwfSNGMmapQNeBZOUKH aEQqCpz oVaJDkiwGfXYdmpCvomvVYzvGgepSijTTAeHosfVKbNhGfVObkVXvkkqy xruPdNSBcqVjdXpBoYde,35-44,Startup
India,Education,Midjourney,96.37,9500,2024,znxvnorDUnBgpvBckuVvjQjDKpikHiRzVECzWPlHVgMSwWoxRtdOHpzRhTpYvDDZksYXANuCaVR dPwLlgwVLUYHAXKdqtnOHBxfMceCN cPeXaJGZoFaQwmCYjILFsGFTkdpGsGFCFxCjkeLxiPQc,55+,Startup
South Korea,Education,ChatGPT,1.52,2424,2024,mdatEpisYRbhlKwqpwZxAxGpYtoaRsfU TKuciEf elLNWLesTNlRSjOKWFYukpYjeBSNwKoi oUQYzsOGrQAETSyj oYQjdZygEtQYK wiVgTbGoROwREDzVMEDjVcNnsOfdNJlPl DomEnqhNsEZ,25-34,Enterprise
Canada,Education,ChatGPT,5.09,8770,2024,jMdRQnDRloZTpOVsAsHADtWYRwkNmIaLMOjDaNsGuHZWLlXxVQEEcSAAYxiO yWrtdWzxcsGbNLpjXaRHEkLwmOPamHFBkIQHgEbBlCVSTVfsyUcgYMOhHXmjhAmjLqKHZohssvrG rmXVNyPLZVEi,45-54,SME
Australia,Education,ChatGPT,63.22,473,2024,XNNcJCEliJUymvSrECPnbEilhnilaShmjIFTRdKuwTsulmxCwKe ZwcckvQLjOewOrWinCVMbXcnofvd IwrPJHrgZ tckyAKsnhBkpfYkHdDigWUm nthdnSwnssoJOxbIbfQmyPisRweyBnL KOg,18-24,SME
USA,Education,Claude,29.58,396,2023,etFaXnPzAMCpBsMJikBMmtnHGUfFO cmReSBYRvGDKSLEboSVzJTPBPjn AJyYNdaQYwhIJxUKuFTyIYBkWSLE DBcLiMdfopCjnAwpYOnLOUp tQGBQGHXUNMBin axUZNqHUqhYZrdzsIcEaN oX,25-34,Enterprise
China,Education,Stable Diffusion,4.68,765,2024,DOFYvQONhvUMSIEASMjrxBeArLOVIEKzjvPLfVfTtkNYuCmgxvFTtLSlTwbxoVdsbkekeWvF FnGKIBdzFRI IvafjRoHmrFRubrySL elesHHiKlHsFcvUMcvCWEOABCxdsskBorpSUipC XhNAac,55+,SME
France,Education,ChatGPT,8.76,3648,2024,tfCvb Kz nYvdttOjcKCNWmhxvUsqaIeQyRxMksYtQbMTyrPVTIbOSyuEaWYVFaToQzmIjOoJxKZTLMoCynqhOUADebStxVNliyhVPolYbxG tqiDpZcYfrxkvUfOEnKgrINRilqiVOgZxATFjgGic,25-34,Enterprise
France,Education,Midjourney,91.96,6497,2024,nkHPghhpMBZMvGBgvfxAcVzbxkQSHCTWsphyAHLwIEwrxIziJVqRjAfQeqHPsgsAUAvstylOBzUGTKvtzGSCWQmaasFOTrVcMTmSEOxpjNGnGhSbGUF qvmSaJcrwnUtCfmZ MLVJVbMMYuqp xuXH,18-24,Enterprise
USA,Education,Midjourney,64.91,3273,2024,l GUjpaLFlHiGewadzRBAJAruRMGovRcVoEFojIgIFbUGYicUHukiJYUfYtGCzyusBYltfzkakHbGyYjIF kIhAtgpOJPXdPrODXIXwMazQOORorxcceRMfTNQTLAEMKSHvcgLkdjCsHVHeHyOliQP,55+,Enterprise
China,Education,ChatGPT,89.77,2686,2024,nlZirsityILGBRGhAprXnD KvDqfBhSuyEgnrfMOuFjYorVGaWKgurhtaYR hHPPwYceZUSkPKLsNIivTsoUgaqvb QkBbDjJmQWjSneGeKvcsUWmGyrEtVrCjfXQalnQltAsmuJilLfanKcGgMGwe,18-24,SME
UK,Education,Claude,49.73,2526,2024,ZPhLEIFyVMJMlOlq AVcpfCrBFBSzclazaOEkHeF McKuxsXoPSmuLMocPChJEVyNObBWTtqufChFzPZbQdzDOBDXWpSVesdrRxunPZkpVJgHCTkuecWJGWzsLhvtGRWszmOktxaZwMDcOzjEYaOvj,18-24,SME
Australia,Education,Midjourney,42.63,8146,2024,xTKxLNruXNNkrVEdeQ ZgvulLaXlDSsDgpqRqofkIiEOBNfefmCTkMKxLoTE  Y NnggCyNYy oMsIYFMiySakMtkNqNpZziw TAwVKlGLCGFGACYralGWFauZqRPAxlqQmCiXLZrvZYCvtM DsgMz,45-54,Enterprise
UK,Education,ChatGPT,83.18,2119,2024,MZZTHqcaQMEenKeqCzVjzocdWdHGibEymIgKUxWelHpzIUqbLGObMxNmuFOfLXScJqbLpTwBbAaOnOQTHZQw KleyzxLRzYnkVKxdgjzkOqZCoqeqceChFuDpuiwdvyYkALgjlJIMNY ItOAi jRMY,35-44,Startup
India,Education,Stable Diffusion,1.2,4337,2024,lrlylPvIalXAjZLinuSmewXVxBvXPMfOhXqO GFUkcaIVTmc eGcJZNzFEvAXUvkuhLJwPZocuRqMGTeSyYkqqksCAVC  GqSJJUNybHoSAtwMmHoIpCOfLFhdsyrkuyNLHjEyqAbOTtfMyWOTHGxx,55+,Enterprise
India,Education,ChatGPT,33.92,688,2024,fxksGlHdtfIYoKpnaXqsujqPHogUWM Qtnjj CbISeHrtVgCHhUhTGpKjghFysTgEgwPCYJtDGUyluRQLIRwJbpBIEsujpZVfOSjxfEFAD AABIAJMzcYEsvVkWKfgchXzmNDvVnkRNEMmvKvNrlZZ,35-44,SME
China,Education,ChatGPT,72.79,6236,2024,iHxwjglVcfhvINqymsvYRDxLKFSHPwxGnhFrjXABweKbhggkISXuZBA hypQWGveyICxHzNrmEfNwrpixRNIYRNzyarmISjeIfiZucRUVmRBzKEWTUsDCB zFprORWiMULXPsHkBNcQwlALOCCknYm,45-54,Startup
Brazil,Education,Midjourney,25.5,680,2023,yroYJeiGZglVhsQFpHcNunmvMZwSUacSGZZWiuPvEqbFJzNUGqzFiPxXFGAleoKnUPbEEDrEL phhRHDYsoRgVlqfclQFJHIJZufEfVgKkcEuxTMmulYDwCFhvUltuhj orsMpexAXYeuMrWaLSCek,45-54,Enterprise
Brazil,Education,Stable Diffusion,54.63,9645,2024,qAzP WMttzbe GJSxPgr XIvVyaCBScVbXpDThYSpuYVCJXuZYDWRLf SUqjfbDDHcOLuZBLBmQpqbbLVBkVdTXtPcpIjBqoW xBjpeLDwGcalDnWPsyIGeouYFdbRWHhxCWAVrzUKfKSKycHCYvQP,18-24,SME
China,Education,Midjourney,16.69,980,2024,GuiVaTDaUtJO lEDCJpXicznbrOssNE OTGnPDBi GU wPpmLepmXTewrlkLCIaCALCbsIeiefFufrqxwkLWlPJEpBgGezzupQwVeRHvNMseykt CTRzeLeAKPcjEgXo ARegvglXEXYBp eixwkfj,25-34,Startup
China,Education,ChatGPT,34.04,4386,2024,aLJCbCpmgwATxcABQIFdMI xQlBUoSGHsIFFRIFSJtiGEEhxpCnJMgcObUEbAxEirWbrePhQS UqWZNQTaKnfGYzrRJtnJas GgNNgzGJHPOitu gHtjQgDhtVjGBxrZFcaWWmuGaWCcoMXjpZbSjR,35-44,Startup
USA,Education,Midjourney,73.48,926,2024,wsBozo vLtomIlmuxYPmalEpfoVYT DpRdTkJlbTJmaxGUAezpV DOAnMBWsuMDOgUtZ ZSj shMPVvjBJxlRZCqjGbZYJgtIMfoTgJ QrpoqFNBgMstfCabXotEIeSKAqZhNaFdsIKuxmuRpXVuYk,25-34,SME
Australia,Education,Bard,91.95,2073,2024,UDbxavMKFjInHWAcvZNEZMdNOobq nDgXtTqoxaDUzvtYyDgcdLHBjDg jakTCJyYrMxmMVGPtOzvUgwVzDzFYDTseTiBftVXswzGwjJSraZcZz zOCbBpTQJWfFSVItyIORNaGACEtRfcmg  vwbo,35-44,Startup
South Korea,Education,ChatGPT,78.47,5049,2024,DsEEDZpAayceRUOTuEnWhIzBvOmExqVLDpVrbsOaHeN HeJQWIvgQqJAdKAZkRaRAbEZyPWAeACShmverMyFHIicxNBKSexvmZxpAyxWRrOMJpmYCQyWvIvluSOhrgbpzxfYBqAZyaLnXtBNzGjtCP,35-44,Enterprise
China,Education,ChatGPT,47.82,1649,2023,AtTAsPggJTxVGdax HIZkbUsRQFXvbcNwKmILBUVGLwUD w QkegwhpnOdyPqhUhVCU jdIUUaQYvcdilUyLLxbXGWbFliZLrzDNmhKdyfWFxPslkhRNKpGzEYjIGjvQTfpJnBjtZChFdkLS XZoNm,35-44,SME
Canada,Education,ChatGPT,33.08,6568,2023,khhavNNPGZQcqcxHlwZJpZIrrxNYqZIyDHseqMZJcsBWSLIBRMSwNDvosfYljyHbIHvGXoTSpSJaOTgUAFxLTnYQpzzDAhUCoNMZhBUAdppKwIKVBZFBpxCXNDiiHaHLAKQjMGR snyWTwHmtuqejk,55+,Startup
France,Education,Midjourney,39.48,6905,2023,q vXaobwykPAlnHrYvqWPZnzKgIrSOUvNKnIUKdiatAATWKJtuiBnZqfYbzfRuvmWTWUBvDgZThgMkFPeB OvQpmDlj TJqjKcSpQBeiMQBfaFdwGXDLcDPHBNPaaKygxjvyYhkXXPMpohbxAndsRI,45-54,Startup
France,Education,ChatGPT,95.62,6842,2024,WSzftXmKGKyQZQSgIhGw unLPovgIsQonxinCpornPvUuUDVfBiYtoJHbDsBBZwGrkCCNzwqsoZNIezVWGjLKBUvHWlOiyByBxPGTBjrfibQnfIopFWcrYVEXCBLWlBDpDfOiIqcHCJtKPfwFUyCGD,55+,Startup
USA,Education,Stable Diffusion,32.05,268,2023,DX ixIxXOSmxvzCsdrkvYYDkRKRlVyw YCgObkTTlhqIRPwHXWSqWlFyfwYekqxdpDrimhdpvhSLavFhRVTILAMkUrlIfNvCQCYdErnXUYKqQjjBblZiEQdABDsOfGSjyKHCinUcwUnNuQtfzZh Uw,35-44,SME
UK,Education,ChatGPT,57.96,1453,2024,JlseexKoEBpek attcJPQLabEBYNHabciWCSBbIiqjsRDpxZOUdXsbAIWLFOYuWtaOnffrWaxsYTodhPbhfXsdCtqbBtzntuWPuMvffOMikXbWUspUmUWUjwokjVMjIBfQcHJbOYTVVosmmpzHqVLF,45-54,Enterprise
China,Education,Midjourney,98.92,1997,2023,IgpSOYPbYQNTTbsfrxIuWsZKYULebbUwBTwswdWUIGWTgdaQGGFDhgMdGvGORARKr OVFjMdyuvjCDqkcFA MObxfytiAbRwZZEXAvNfKSoYadi ECUdloNVARBxqMkoaEVReDIxjwijaHzGJaWcNa,25-34,Enterprise
Canada,Education,Stable Diffusion,50.24,2455,2024,lowBVOHBjHbkbMtAvVTLrzajryUHauNBrAvCQZDhdKwUGEKbMTIMfdMKVXNmTprkxaVfsaJHcrYAlKdlXEojOJColdetgxzourKWSsyMorMbDlAKUTvhENBAQFLVFqBvTGbtJrpqLXVI gpUwfsGWz,45-54,Enterprise
Germany,Education,ChatGPT,31.92,9663,2024,WJwYXYBmbh jlXsREdxg AVOeCghInUBIwZgIyKCZlpgMwNfBRTmEJGYoTepAlcCLcYQyiyNNrUmYNDwzhVzpuMChIWOtSpuRjelKoSqyedpQvNEQ uQvqIww AXWxlvfmqPodIYJn OvMHYPxWnyB,55+,Startup
Australia,Education,Bard,44.89,9983,2023,GJuRSNRCIYRjHBLMdxYjSpJiWHhXCjMrEkwxJM kha KBkelnrzOdoxWQmuUBVYFLDjlxlvvJlpUFTsDbUfyUivHJGeJyPSHYEkoJqwvyesGlDuFSvIVvumjPuKlSJxbpARSYecvHDSQnMTbobzPiy,55+,SME
USA,Education,Midjourney,62.17,4045,2024,dbuZuJzxEsGzJRYjGdkMkAxOrJyIPQCwktRftYsggSJYRoavPAQhZVZryPXiSQgdvDLyYxOXkOAJJp AovhXjZLsaNBvtQaJcOLE BaQRRvgFUVJPgaoZUfVr lTFRyyedyCrxJCKOyPHQPrdfcQUU,18-24,Enterprise
Australia,Education,Stable Diffusion,97.82,3592,2024,SLSuaMzAjBfsrRHJaCeQyRyyCCyMfrMcZBzOZzBlIflADsnwVGOTgwosuJsLCDglixLlKmZzIRbQvTqQpzJExXjntFhKTGWrnLbeweZjcXXitEvAlZTCeHbjYrOmIpwVREyaYUHfXdkH  IRzawOsc,55+,Enterprise
Australia,Education,ChatGPT,94.82,1127,2024,fvd gVbAWzVUIWIkYrcTOqfoHdJIjGSymXSSOdELhYGKVNWo RqAVjbbeaLrnpCPAeJAhZaswmwgjpukFgvtRUKQtHrV ihWLYzyjRyHKvaLXwXpoTLTFrZdTZJfxBEGUvfFJXKJVMjJ xtXozJnFw,55+,SME
India,Education,ChatGPT,71.92,1887,2023,KWUXWdJBTBCKMxEnTcIxqHqMGntnsDbjipmEivObhcBwOWLyeQMhvxNVxjaXiFIhddlFjCSaPRWMxSItdgEycAFfnpyzU LEUvZzsZnAdmxeYUdBil XKbQkEZIBzHvUosHyEbPCUcbeVRVwSUBQGx,18-24,Enterprise
UK,Education,ChatGPT,29.63,9039,2024,OsoYCccFHLzuYJiCEBbqIbdqmRntYpRykOxMSUSmdrYwYftCFJKRDxtyIUrBCiIthMeUOXQCZFrLjVhPulSXXmGQHtnLhBMctdzMtnxkdQlurMXZeiAKblxCMdLsqtbBgcvHJDfHazNCa bhpdVQOe,45-54,Startup
South Korea,Education,Bard,2.6,3398,2023,jcI JpnAFuecTEmHbUoJuBSSHnchoJYxoQIjSnpztnrvGbizLkzmPuUpDTSnDF axLkCCWGYiicKCHrQfectiRzmoUZQgZMtDzsudprJNJzKUuqHubvRGoRFTgt neFXAguogFjwOmBYIoxNFwbeEw,18-24,Enterprise
USA,Education,ChatGPT,6.0,1909,2023,CaOMoAwLbZwZgxtOvAWRGUGejpjkYbqCaytsunUqmOQNsQzqYvcvePijTbVORWxxZLJawGxMdzViLyJsximycKl KRiElSplPYVMdddNdVfGhPAPPVvgBzmdUBNCKEftNQdocydUzFgzJpvwjizlTt,35-44,SME
USA,Education,ChatGPT,64.22,7064,2024,hEsaHUgXNesppRlmdyzObQjXFpsiYnghOyPXodafqPDSVXiaHhpwAfjAIdVG GzoXiyWtUYlFJldkIZGJXNmhfsXSZrSmyJIoEXCzKDBocDjxfMKHkRZtXexIIeMWvSlbkmItjVKdwpsyzwJrFDxeo,55+,SME
Brazil,Education,Midjourney,37.02,9485,2024,vNRQduGebLWOjBbDyYEHeJHzNf WivubvCbpqTRuISbyWOBtTATkblOubYqYSVmBvqFnnXVMSUnBLfmoYvbVylOSQsxLEdByO p IIrnnlpegZDfeQJLzyPtNtpCfEKLAiPFFGLDKifKhZXHMzCyiu,35-44,Enterprise
UK,Education,Midjourney,11.39,3949,2024,INgSdaHpuiDRVzmZqnwRmAqGWodqfCtDILyKpedQQbfjFBqOsMpivNEZklNVQR ZBosVppkwpttZEVDvr iEs AcRrFgWASwUzXuIRQCNMhPnGPxYakYUyOssJfsIpCFIEShWxcnSvYFPlqLwFrrWZ,25-34,SME
USA,Education,Claude,78.85,5797,2023,JJHZzWVUOJMSrlkAfRIwplcEQFubSECOoDBRnZWpSfiARTSnZhxGuxQMeelnyaOPJVuaspZ yuGWMPyhjLVcAGSlsrFKZwMlmrIwUOXxlevLMlWoQMyUkobmizrnYuqjASwrKhezjygAQmfnjhhWxq,18-24,Startup
USA,Education,Stable Diffusion,19.98,547,2024,bYHIRjX KYzruINWqCXbAUEOMSNbCTkCaYBUlbHgCuVBcFnnOgEqzDGqWexdt EFVwFRRZXQlJPcesedFxWasRcCgEkxnbQccDeWlcbbwdOVRKFvjZeyEFZWejsIIEbdWVnmFxqvRbxARsieBjqB H,45-54,Startup
USA,Education,ChatGPT,96.43,2070,2024,WRUixggkBI BxTXPXqvTAGNIeKLxPIdEJGczhNL fNeDlZdjYoHHslNygoQHxUjuaDFbpqbuVLpZOgiu LphqYzQwazwfzdjsaDYvxJURGBC dJAtLhlhimmHAuevSBMZrCgbrmrWoRzP vdfZcMky,45-54,Startup
Canada,Education,Midjourney,55.62,9032,2023,znNRRQupVCDZHNrGoVDEHadZGVvkS Ucgp LeQwTCXjZlQYjaifrDeUnyAaXaYNhOvvWXUQDQImgnwYxPWRPvfUaoQpUMutFZiBgee YFmEhpKYxHSzkQUGIxpJVYygfDKSZxyeYOAFeKyxcjVH Tl,35-44,Enterprise
UK,Education,ChatGPT,87.07,184,2024,XumvOkTDAbTh vAITshXNjPdoWWekhlVPclAfBACwjgWseNsTdjvAplXzcrzkkdqvtcxBteUMW asZPq CkLbMustLXCXtaEdOReKJ ZczEZsIUFZZvGQhqAnrXPSeIDoenPMpwXuCqkXHroODaMSC,55+,SME
Germany,Education,Midjourney,75.66,5362,2023,HMfDsgCcYVKwizKSvAisJTQYqzETfHawtdDnMhCwiUhqYXInnmBNUaXcAKFlDG VRgwn CAjUWumvufGNQ kviFcxrRVAGUvEjezjCOfOngdPbScIJGHVVaBHsyLH hACujszgKOUayYCaNbklsGAY,45-54,Enterprise
UK,Education,Stable Diffusion,46.25,4774,2024,HunnkrVNvTjBTqGJM qorICWVSTQnBHICUUtZOLuSmrNTCtNGNFXCQokNYYCUCkYezqlwXGRdUUTPImnYiUixtDSNPCxmPZqJhrASuEgQyctKoOKoaAYgSyrjBwWQZqxprNcEoeWCWeFHdgNRdBmSl,35-44,Startup
USA,Education,Stable Diffusion,48.45,9070,2023,lWZydUQnNAomEXfKqcpUYhBzLANdLHJxjxfbLQtmNEw lzttvdhtrJZJhaRalQQqpcFzWhpOaMUgENINqsSESJUPYDWMiuWrGRGlnGnzXAqzmREKSrtUUrqb cVNKNhTAFgDaRozqoeqQhNrXnhXhc,35-44,SME
UK,Education,ChatGPT,4.94,1695,2024,LbkuXEvjTsEw ubTkevQzYrulaYrCgghIPz tEkTGxpbzEAEIalcPJ sRPrzPOoeQqkfbdUaqRkbQcYwrRwpMWDakBXyvKzKFerogBiDiDZVleFNzv kVrUAXXfIwbRAImWJuaziYnmFFLKCukoqOw,25-34,SME
France,Education,Midjourney,96.12,4190,2024,AttQPFiLswWgBaGJcHKJqRuJSWZkNXdeYTcmSplItgHzhqtHbTslMNLpvtrakLpmZynvpoJjaEnQwQYkblzfRZYeslxpPmSeuTzwGWQzWjeFCMJjQHTxzNzvdQUAQGhXZdwwzdsaKojheTfBhGbHXC,18-24,SME
South Korea,Education,Bard,86.09,1102,2024,ZNH XIPWUuqrEksGJL fwOgpesiBYBUEnwlH IOkpUQoWPBqTfEOEDmsKgX uaRYjcJYethAU XNCrvx Zv OniLPCaoPyzM GIZlIqIXomyqWqKKWrhmTqcjDovyQdNiXuOnAtsvqaZqou cpHrfK,35-44,Enterprise
USA,Education,Stable Diffusion,61.45,2971,2024,vfJrUCtSNirAVmRmLkwLIAtkWxDSnzZIhJBvXg XCEwcrMvMDHBNlgysWsebamSRUQyXNUDhEoycbRlVkAQLtduGyUmTPOoQKQuTTurSNBDrOKxfmRuBWuHchV VkxBrmgXNbiXdtLdYVEphezfrKk,35-44,SME
UK,Education,Midjourney,69.57,2092,2023,oQgUtOBkPUXICtWnibdTSCnortYJAwlmqSipTxtAAwDeLjRhuXjqYYzredQvBlTjtQRPvcNMBpljuy gTykCoiVOmQdMyZC qHodBal eSCqzXgxL zrgAyppqUsNXMIEdkCOFyPhJtKlrEBMjiSib,45-54,Startup
India,Education,Midjourney,24.2,8172,2024,IIyOlThKfmYXbEpVIjZXFWZKUuBwJvhEbtAsUAVYNxSgrZstFEgPtZhMZPXJaphysAEBuSnGAStOHnqLRPsMeBcfscChEhQtQPmh tzOqvciVeTFCRiSCrGXngmNXfANvMvoEGDgsQGTzYskiLOmzn,55+,Startup
Australia,Education,Bard,99.55,1765,2023,kNCHzkU chaxtIUzDSgRvVLhaWcXaPUpCnrjDxddeVqEXLKzg lDQRpsGdAFkOOFyMCjRjWWvoRSFmybwVqSbxNtcDCGsacVwOhJNVPYrZBGCiiyOJvHThKSGmOYUYsbIlORIrlxEJTxVlslnJKDDE,35-44,Enterprise
Canada,Education,ChatGPT,61.12,6520,2024,aYhVNdjhhSigQfQrjgRbczrqeMxEJyHWAmoXdzrYtxqUTuGsgmQ jvopziGvLCSPPKtTiNbVcK TxQHXHvqRtNBELbtfQuMmJUgrOPDrUoI aNRfwH GOL mjaqPHpZdZcoJvi iJuhkLaEoqZcucZ,55+,SME
China,Education,Midjourney,20.9,4179,2024,tWcwMyghwXSKCFxCswSgmppnxuS yuXyjrWNmpNFGJzwtDSQoDajCobbkZOGlapTYsfahTSYvRjQFrCUnGdQVpQsPhFDwyqRZqDZKwLAgTXNlpmZWdZuYwWTNMLKuooVWKGcdRIS SILwPEZrCWsqm,18-24,Startup
UK,Education,ChatGPT,23.44,7087,2024,JIQodNlMtCqfAvaoiofLnkgIHfoOuLGjBZehamfEComBNhcO MJAaapgKPeTAcvNRWoQnlLvXRDcMHDOBBkiBdrKGYCBOVyYaDNQZRtTvjnDDlgwJhRirxjAOJVgTxHVExLlfanPTLsXiyjBpgbIXX,45-54,Enterprise
Brazil,Education,ChatGPT,51.31,6673,2024,O IGzOSiVaOtyotlwfHZEUbktNwLdvrrPUSupzJrofBbDbKadDqwXGTVZvohsFJLGiniUtD acbDadhbHBLpe jIKSIjLDLgAbryJBKlbDuuiZsVlSqAzIXMsEWKAuHehtjekZLSovEtQCfxTHowoU,35-44,SME
China,Education,Midjourney,34.38,2023,2024,ASsLbEjkgCISwq iXspPzsUYbeUYyROTHf ctzTPfT LJSInZsPhALUsUq mN DHfATHoHnEZTSvSJdZefhOclcAPCjDegwqHktPpAfqFbTsQgrwU uJDjr PCUiRrKaNCioCADeTapcYoFv kvMyQ,18-24,SME
China,Education,ChatGPT,27.6,4169,2024,hnSGBpTOHnXuOBdiFGIEHRZgegfwIBOeKeAvvyDIcXeQGKs nlKsBMGtfVJSVJMTVdMSgmqNXHixyEodfsieOnsrKz RnphlQzbaTvccYk bohYtRTVpqIYGA oonSQCgmwYRqRCROCvIo KYbsPRY,25-34,Enterprise
USA,Education,Stable Diffusion,52.48,1167,2023,WvgS VJNNCfzqrTGItZFUiGvHdFNHiejDEckQSmrwUDzTqXJEfkgOb dFiEXlMRhTpIAKaoNphJMVtCUVWHSzemgocgdMKNsYZhbAIHTQv JYEDOsHhswgCKEuOiMEsRnIUJmeBTHtqaonRjPBgwts,25-34,Enterprise
UK,Education,ChatGPT,60.19,2257,2024,ecmmrMjtFFIfNsjWIcQrtvkUJZXKVkkLlFwcFRzqmYkThVrAMyDryPApaXlKzdareInEYBVliEsDHQuDkrubVLBkoYw QlRFFuwdOdWCnSqbPMNdakBVmvcPWQFnuiBvaJBzmqKSdOzUWBXR FGUTC,55+,Enterprise
Canada,Education,ChatGPT,54.76,4668,2024,CqSMgbGAxVKeCegmaUuLqtZKVkRcxrDDtWfwfFXyaoxJiqMDDAcuSuLvGFNQZoJAdpOMcHBilrpZRGjNFyhaOqlbspLBvPow qpDWYxkqgglsq uiPURqFUfewMtRszssFHRYsKNqrHuuVAXmZqXwb,18-24,Enterprise
France,Education,Midjourney,36.75,3617,2024,NtugrvYiNqVERgbfgBlvVf FwRRQYRFFNheNTnUeABpdMKbUaYihfAeTGZxFifUEXWydPsvqMdvfgmbjmzLjJhbuhZDeSEDJVRHXjzATlHNAeSiuFBghmTMThOwMMebIQcbkNRHaesYKpAZzVyNGuw,55+,Enterprise
France,Education,ChatGPT,1.74,5908,2024,dZZTrQlmOwSpAhqQiFjKyvxQxwIqmlpuBWZDDBYwWoxjrieIsoDmnqPcMuiPAxIWljvIShvkPDhZDUwZkQHQttUBKi  wKTAVjhcBtcudEbVWdZyWilMfJPWGTPMzxGBeIzAfPIDPPINglJpONwISp,18-24,Startup
UK,Education,ChatGPT,37.92,288,2024,cwXGsCtKHCLMZfxymKHYPitSuTULSugYVWciSnUjDORVsphRJNxnA lppuUjGwZVUArLNnFyvvZIwZgXRHOSlbybNisIwwMuaurNjIsTLwgfoQBLTISdrrPHNeIPptMbQYVOmpRskImdorVWbVXYcf,45-54,Startup
UK,Education,ChatGPT,92.49,3921,2023,SRbEUQAjvHH Pxl ApudhcdXpwCGraurWQhCJTFVaPWUvXXIxCGpdwJLbfFFgOsFYILPuaPNhSxPNraQsIOIQQbJfAmkVNFZsbrXeuMASlsXPkJSQyOgmQUYjBkbMZwyqsEUaEsIwvhlUPBugLioBW,45-54,SME
USA,Education,Bard,82.46,7827,2024,nOLdTzwkp OefQfzjDjJMStyZqcZQgwRCuKUSBTwMDqtatkcYeDppO tcXecXMHSvStrSiyUHsxLelGvbhJalRhldUDpydHQthIGhKVpopFrLwgIsjAZjvgViFBPMlsdPfmDjyhqhRteldCeODCVFJ,25-34,Startup
Brazil,Education,ChatGPT,86.64,2832,2024,sTQRjfKhtoFp UysnFqxazxOel wUTwNOQyqsHDornVsRScelcuNxAHgbcL ZfvcrSdGBdsCdugrcVjwJIFKN CBncNKddh udBRvNjhmHypdXIksoGFygXoqhSOBUeSLtYcXCIikWApeQeDSvuowt,25-34,Enterprise
France,Education,Claude,9.02,7010,2024,zRhnVcfWAdrG fnGBGEkmquJkshrrH l xhdb MTwGmSmsXDzKyYGZfjJQRHoVdmi YFWmKoCMBvbydWiUeVIShvMuTDoDMIgwRPkxYemfWCzgGAainvTczFhldRmDLBCYFvvPQlBWSWrHnyyfFkhY,35-44,Enterprise
